NROGAR,DESC TIPGAR,MONEDA,M GARANTIA MO,M GARANTIA MN,SEGMENTO,may_1MM
5633,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
5634,FONDO MUTUO,USD,23300,77309.4,Banca Minorista,0
5635,CUENTAS EN GTIA,PEN,36000,36000,Banca Minorista,0
5636,DEPOSITO A PLAZO,PEN,17470,17470,Banca Minorista,0
5637,FONDO MUTUO,PEN,770,770,Banca Minorista,0
5638,CUENTAS EN GTIA,USD,2027,6725.586,Banca Minorista,0
5639,FONDO MUTUO,PEN,18260,18260,Banca Minorista,0
5640,DEPOSITO A PLAZO,PEN,57335.1,57335.1,Banca Minorista,0
5641,DEPOSITO A PLAZO,USD,4800,15926.4,Banca Minorista,0
5642,CUENTAS EN GTIA,PEN,12000,12000,Banca Minorista,0
5643,DEPOSITO A PLAZO,PEN,13716.72,13716.72,Banca Minorista,0
5644,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5645,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5646,DEPOSITO A PLAZO,PEN,10000,10000,Banca Minorista,0
5647,SUPER DEPOSITO,USD,1000,3318,Banca Minorista,0
5648,DEPOSITO A PLAZO,PEN,4200,4200,Banca Minorista,0
5649,FONDO MUTUO,PEN,1199,1199,Banca Minorista,0
5650,FONDO MUTUO,PEN,3960,3960,Banca Minorista,0
5651,DEPOSITO A PLAZO,PEN,2131.05,2131.05,Banca Minorista,0
5652,DEPOSITO A PLAZO,PEN,35497.58,35497.58,Banca Minorista,0
5653,DEPOSITO A PLAZO,PEN,5000,5000,Banca Minorista,0
5654,FONDO MUTUO,PEN,2000,2000,Banca Minorista,0
5655,CUENTAS EN GTIA,PEN,28865,28865,Banca Minorista,0
5656,CUENTAS EN GTIA,PEN,8000,8000,Banca Minorista,0
5657,SUPER DEPOSITO,USD,500,1659,Banca Minorista,0
5658,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5659,DEPOSITO A PLAZO,PEN,40826.2,40826.2,Banca Minorista,0
5660,DEPOSITO A PLAZO,PEN,5112,5112,Banca Minorista,0
5661,FONDO MUTUO,PEN,2200,2200,Banca Minorista,0
5662,DEPOSITO A PLAZO,PEN,60050,60050,Banca Minorista,0
5663,CUENTAS EN GTIA,PEN,247595.79,247595.79,Banca Minorista,0
5664,DEPOSITO A PLAZO,PEN,11000,11000,Banca Minorista,0
5665,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5666,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5667,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
5668,DEPOSITO A PLAZO,PEN,4000,4000,Banca Minorista,0
5669,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5670,FONDO MUTUO,PEN,44521.4,44521.4,Banca Minorista,0
5671,FONDO MUTUO,USD,30715.8,101915.0244,Banca Minorista,0
5672,DEPOSITO A PLAZO,PEN,2000,2000,Banca Minorista,0
5673,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
5674,CUENTAS EN GTIA,USD,3444,11427.192,Banca Minorista,0
5675,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5676,DEPOSITO A PLAZO,PEN,15000,15000,Banca Minorista,0
5677,CUENTAS EN GTIA,USD,394,1307.292,Banca Minorista,0
5678,CUENTAS EN GTIA,PEN,30000,30000,Banca Minorista,0
5679,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5680,FONDO MUTUO,PEN,700,700,Banca Minorista,0
