NROGAR;DESC TIPGAR;MONEDA; M GARANTIA MO ; M GARANTIA MN ; SEGMENTO ; may_1MM 
18751;DEPOSITO A PLAZO;USD; 5,730 ; 19,012 ;Banca Minorista;0
18752;FONDO MUTUO;PEN; 28,292 ; 28,292 ;Banca Minorista;0
18753;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18754;FONDO MUTUO;PEN; 46,285 ; 46,285 ;Banca Minorista;0
18755;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
18756;DEPOSITO A PLAZO;USD; 316,505 ; 1,050,164 ;Banca Minorista;1
18757;CUENTAS EN GTIA;PEN; 1,100 ; 1,100 ;Banca Minorista;0
18758;SUPER DEPOSITO;PEN; 28,385 ; 28,385 ;Banca Minorista;0
18759;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18760;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
18761;FONDO MUTUO;PEN; 86,978 ; 86,978 ;Banca Minorista;0
18762;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18763;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18764;DEPOSITO A PLAZO;PEN; 20,000 ; 20,000 ;Banca Minorista;0
18765;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18766;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18767;CUENTAS EN GTIA;PEN; 990 ; 990 ;Banca Minorista;0
18768;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18769;FONDO MUTUO;USD; 3,480 ; 11,547 ;Banca Minorista;0
18770;DEPOSITO A PLAZO;PEN; 35,000 ; 35,000 ;Banca Minorista;0
18771;DEPOSITO A PLAZO;PEN; 15,000 ; 15,000 ;Banca Minorista;0
18772;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18773;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18774;FONDO MUTUO;USD; 315 ; 1,045 ;Banca Minorista;0
18775;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18776;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18777;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18778;DEPOSITO A PLAZO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
18779;DEPOSITO A PLAZO;USD; 12,500 ; 41,475 ;Banca Minorista;0
18780;DEPOSITO A PLAZO;PEN; 5,000 ; 5,000 ;Banca Minorista;0
18781;CUENTAS EN GTIA;USD; 4,800 ; 15,926 ;Banca Minorista;0
18782;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18783;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
18784;DEPOSITO A PLAZO;PEN; 20,000 ; 20,000 ;Banca Minorista;0
18785;FONDO MUTUO;USD; 830 ; 2,754 ;Banca Minorista;0
18786;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18787;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18788;DEPOSITO A PLAZO;PEN; 17,000 ; 17,000 ;Banca Minorista;0
18789;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18790;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
18791;DEPOSITO A PLAZO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
18792;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18793;CUENTAS EN GTIA;PEN; 182,228 ; 182,228 ;Banca Minorista;0
18794;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18795;CUENTAS EN GTIA;PEN; 1,000 ; 1,000 ;Banca Minorista;0
18796;DEPOSITO A PLAZO;PEN; 5,170 ; 5,170 ;Banca Minorista;0
18797;DEPOSITO A PLAZO;PEN; 3,500 ; 3,500 ;Banca Minorista;0
18798;FONDO MUTUO;PEN; 960 ; 960 ;Banca Minorista;0
18799;DEPOSITO A PLAZO;PEN; 220,000 ; 220,000 ;Banca Minorista;0
18800;CUENTAS EN GTIA;USD; 138,601 ; 459,879 ;Banca Minorista;0
18801;CUENTAS EN GTIA;USD; 138,601 ; 459,879 ;Banca Minorista;0
18802;DEPOSITO A PLAZO;PEN; 19,000 ; 19,000 ;Banca Minorista;0
18803;CUENTAS EN GTIA;PEN; 2,400 ; 2,400 ;Banca Minorista;0
18804;DEPOSITO A PLAZO;PEN; 20,000 ; 20,000 ;Banca Minorista;0
18805;DEPOSITO A PLAZO;PEN; 36,000 ; 36,000 ;Banca Minorista;0
18806;FONDO MUTUO;PEN; 2,400 ; 2,400 ;Banca Minorista;0
18807;CUENTAS EN GTIA;USD; 10,000 ; 33,180 ;Banca Minorista;0
18808;CUENTAS EN GTIA;PEN; 7,199 ; 7,199 ;Banca Minorista;0
18809;DEPOSITO A PLAZO;PEN; 5,476 ; 5,476 ;Banca Minorista;0
18810;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
18811;DEPOSITO A PLAZO;PEN; 15,649 ; 15,649 ;Banca Minorista;0
18812;DEPOSITO A PLAZO;PEN; 25,287 ; 25,287 ;Banca Minorista;0
18813;CUENTAS EN GTIA;PEN; 1,500 ; 1,500 ;Banca Minorista;0
18814;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18815;CUENTAS EN GTIA;PEN; 15,000 ; 15,000 ;Banca Minorista;0
18816;DEPOSITO A PLAZO;PEN; 14,060 ; 14,060 ;Banca Minorista;0
18817;DEPOSITO A PLAZO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
18818;CUENTAS EN GTIA;PEN; 6,000 ; 6,000 ;Banca Minorista;0
18819;CUENTAS EN GTIA;USD; 272 ; 902 ;Banca Minorista;0
18820;DEPOSITO A PLAZO;PEN; 9,300 ; 9,300 ;Banca Minorista;0
18821;FONDO MUTUO;PEN; 4,800 ; 4,800 ;Banca Minorista;0
18822;CUENTAS EN GTIA;PEN; 1,440 ; 1,440 ;Banca Minorista;0
18823;CUENTAS EN GTIA;USD; 332 ; 1,102 ;Banca Minorista;0
18824;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18825;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18826;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18827;FONDO MUTUO;PEN; 960 ; 960 ;Banca Minorista;0
18828;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18829;CUENTAS EN GTIA;PEN; 17,430 ; 17,430 ;Banca Minorista;0
18830;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18831;CUENTAS EN GTIA;USD; 390 ; 1,294 ;Banca Minorista;0
18832;CUENTAS EN GTIA;USD; 325 ; 1,078 ;Banca Minorista;0
